parents	labels	shortname	shortname_rus	name_rus	history_from	history_till
	Moscow Exchange		Московская биржа			
Moscow Exchange	Chemicals and Pertochemicals		Химия и нефтехимия			
Moscow Exchange	Conglomerate		Холдинги			
Moscow Exchange	Construction (Development)		Строительство			
Moscow Exchange	Consumer Discretionary (Retail)		Потребительский сектор			
Moscow Exchange	Electric Utilities		Электроэнергетика			
Moscow Exchange	Energy (Oil, Gas, Coal)		Энергоресурсы (Нефть, газ, уголь)			
Moscow Exchange	Financials		Финансы			
Moscow Exchange	Health Care		Здравоохранение			
Moscow Exchange	Industrials		Промышленность			
Moscow Exchange	Information Technologies		Информационные технологии			
Moscow Exchange	Metals and Mining		Металлы и добыча			
Moscow Exchange	Telecommunication Services		Телекоммуникации			
Moscow Exchange	Transportation		Транспорт			
Moscow Exchange	Others		Прочее			
Chemicals and Pertochemicals	AKRN	Acron	Акрон	Акрон ПАО ао	2014-06-09	
Chemicals and Pertochemicals	HIMCP	Himprom ap	Химпром ап	Химпром ПАО ап	2014-06-09	
Chemicals and Pertochemicals	KAZT	Kuib.Azot ao	Куйбазот	Куйбышевазот ПАО ао	2014-06-09	
Chemicals and Pertochemicals	KAZTP	Kuibishevazot ap	Куйбазот-п	Куйбышевазот ПАО ап	2014-06-09	
Chemicals and Pertochemicals	KZOS	PAO Organicheskiy Sintez ao	ОргСинт ао	ПАО Органический синтез ао	2014-06-09	
Chemicals and Pertochemicals	KZOSP	PAO Organicheskiy Sintez ap	ОргСинт ап	ПАО Органический синтез ап	2014-06-09	
Chemicals and Pertochemicals	NKNC	Niznekamskneftekhim ao	НКНХ ао	Нижнекамскнефтехим ПАО ао	2014-06-09	
Chemicals and Pertochemicals	NKNCP	Niznekamskneftekhim (pref)	НКНХ ап	Нижнекамскнефтехим ПАО ап	2014-06-09	
Chemicals and Pertochemicals	PHOR	PhosAgro ao	ФосАгро ао	ФосАгро ПАО ао	2013-07-08	
Chemicals and Pertochemicals	URKA	UralKalij	УралКалий	УралКалий	2013-03-25	2022-12-13
Chemicals and Pertochemicals	VLHZ	VHZ	ВХЗ-ао	Владимирский химич.з-д(ПАО) ао	2014-06-09	
Conglomerate	AFKS	AFK Sistema	Система ао	АФК Система ПАО ао	2014-06-09	
Conglomerate	ENPG	EN+ GROUP IPJSC ORD SHS	ЭН+ГРУП ао	МКПАО ЭН+ ГРУП ао	2020-02-18	
