private_ppif	RU000A101HY7	PIF Alfa-Capital Arendn.potok	ПИФАльфаАП	ПИФ Альфа-К Арендн. поток	2020-06-10		
exchange_ppif	AKQU	AKQU ETF Alfa Capital Quant	AKQU ETF	БПИФ Альфа Капитал Квант	2021-10-04		
interval_ppif	RU000A105R70	IPIF Annapurna	Аннапурна	ИПИФ Аннапурна	2023-06-01		
private_ppif	RU000A103HD7	ZPIF RI 2	ЗПИФРД2	ЗПИФ РД 2	2021-11-10		
exchange_ppif	RCMB	RCMB ETF	RCMB ETF	БПИФ Райф Еврооблигации	2020-10-21		
exchange_ppif	AMRH	AMRH ETF ATON Hyield Rus Bonds	AMRH ETF	БПИФ АТОН Высокодох. рос. обл.	2021-08-12		
exchange_ppif	MKBD	MKBD ETF Russian Div. Shares	MKBD ETF	БПИФ МКБ Российские Див. Акции	2021-07-28		
public_ppif	RU000A0JVJ29	OPIF BCS Precious Metals	БКСДрагМет	ОПИФ БКС Драгоценные Металлы	2021-07-15		
stock_mortgage	RU000A0JVEZ0	ISU GK-3 Ai Kiu Dzhi UA	ИСУ ГК-3	ИСУ ГК-3 Ай Кью Джи УА	2015-06-26		
interval_ppif	RU000A107860	IPIF Astra Hedge Fund U5	ХеджФондЮ5	ИПИФ Астра Хедж-фонд Ю5	2024-02-07		
private_ppif	RU000A1034U7	ZPIF Sovremenniy 7	СФНАрБиз7	ЗПИФ Недвижимости Современный7	2021-08-25		
exchange_ppif	SBRS	SBRS ETF Rational smart	SBRS ETF	БПИФ Первая Осторожный смарт	2021-06-09		
private_ppif	RU000A0ERGA7	PIF Kommercheskaya Nedvizhimos	ПИФСбер-КН	ПИФСбербанк Комм.недвижимость	2005-06-17		
public_ppif	RU000A0JRUQ3	TKBIP Sbl	ТКБИП Сбал	ОПИФ ТКБИП Сбалансированный	2024-06-03		
private_ppif	RU000A0JS991	Kommercheskie Investicii	ПИФКоммИнв	ПИФ Коммерческие Инвестиции	2012-06-20		
exchange_ppif	ESGE	ESGE ETF Russian Equity ESG	ESGE ETF	БПИФ УстойчРазвРоссКомп УК ВИМ	2021-09-27		
exchange_ppif	YUAN	YUAN Bonds ETF	YUAN ETF	БПИФ Облигации в юанях	2023-05-19		
exchange_ppif	AMNY	AMNY ETF Cumulative in yuan	AMNY ETF	АТОН - Накопительный в юанях	2024-06-24		
private_ppif	RU000A0JRHC0	ATRIUM UK VELES TR	ПИФ АТРИУМ	ПИФ АТРИУМ УК ВЕЛЕС ТР	2011-06-08		
exchange_ppif	AKMM	AKMM ETF Money market	AKMM ETF	БПИФ Альфа Денежный рынок	2022-07-14		
interval_ppif	RU000A0JP4U1	PIF InvBalance UK Kapital	ПИФКапИнвб	ПИФ УК КапиталЪ Ивестбаланс	2007-03-23		
exchange_ppif	AMRE	ATON Russian Equities + ETF	AMRE ETF	БПИФ АТОН – Российские акции +	2021-04-15		
exchange_ppif	TITR	T-Capital RUSSIAN TECHNOLOGY	TITR ETF	Т-Капитал Российские Технологи	2024-05-20		
exchange_ppif	AKME	ETF AKME Alfa Managed Equties	ETF AKME	БПИФ Альфа Управляем Акции	2020-12-18		
public_ppif	RU000A100EQ2	OPIF BCS Russian Eurobonds	БКС РосЕвр	ОПИФ БКС Российские Еврообл	2021-08-30		
