parents	labels	shortname	shortname_rus	name_rus	history_from	history_till
	Moscow Exchange		Московская биржа			
Moscow Exchange	Chemicals and Pertochemicals		Химия и нефтехимия			
Moscow Exchange	Conglomerate		Холдинги			
Moscow Exchange	Construction (Development)		Строительство			
Moscow Exchange	Consumer		Потребительский сектор			
Moscow Exchange	Electric Utilities		Электроэнергетика			
Moscow Exchange	Energy (Oil, Gas, Coal)		Энергоресурсы (Нефть, газ, уголь)			
Moscow Exchange	Financials		Финансы			
Moscow Exchange	Health Care		Здравоохранение			
Moscow Exchange	Industrials		Промышленность			
Moscow Exchange	Information Technologies		Информационные технологии			
Moscow Exchange	Metals and Mining		Металлы и добыча			
Moscow Exchange	Telecommunication Services		Телекоммуникации			
Moscow Exchange	Transportation		Транспорт			
Moscow Exchange	Others		Прочее			
Chemicals and Pertochemicals	AKRN	Acron	Акрон	Акрон ПАО ао	2014-06-09	
Chemicals and Pertochemicals	DGBZ	Dorogobuzh	Дорогбж ао	Дорогобуж ПАО ао	2014-06-09	2018-02-28
Chemicals and Pertochemicals	DGBZP	Dorogobuzh pref	Дорогбж ап	Дорогобуж ПАО ап	2014-06-09	2016-02-02
Chemicals and Pertochemicals	HIMC	Himprom ao	Химпром ао	Химпром ПАО ао	2014-06-09	2022-12-13
Chemicals and Pertochemicals	HIMCP	Himprom ap	Химпром ап	Химпром ПАО ап	2014-06-09	
Chemicals and Pertochemicals	KAZT	Kuib.Azot ao	Куйбазот	Куйбышевазот ПАО ао	2014-06-09	
Chemicals and Pertochemicals	KAZTP	Kuibishevazot ap	Куйбазот-п	Куйбышевазот ПАО ап	2014-06-09	
Chemicals and Pertochemicals	KSGR	Koks ao	Кокс ао	Кокс ПАО ао	2014-06-09	2022-12-13
Chemicals and Pertochemicals	KZOS	PAO Organicheskiy Sintez ao	ОргСинт ао	ПАО Органический синтез ао	2014-06-09	
Chemicals and Pertochemicals	KZOSP	PAO Organicheskiy Sintez ap	ОргСинт ап	ПАО Органический синтез ап	2014-06-09	
Chemicals and Pertochemicals	NEKK	NEKK	НЕКК ао	НЕКК ОАО ао	2014-06-09	2014-09-19
Chemicals and Pertochemicals	NKNC	Niznekamskneftekhim ao	НКНХ ао	Нижнекамскнефтехим ПАО ао	2014-06-09	
Chemicals and Pertochemicals	NKNCP	Niznekamskneftekhim (pref)	НКНХ ап	Нижнекамскнефтехим ПАО ап	2014-06-09	
