parents	labels	shortname	shortname_rus	name_rus	history_from	history_till	trace_color	wiki_page
	Moscow Exchange		Московская биржа					
Moscow Exchange	Others		Прочее				rgba(199,78,165,1)	
Moscow Exchange	cb_bond		cb_bond				rgba(220, 20, 60, 1)	
Moscow Exchange	corporate_bond		corporate_bond				rgba(50, 205, 50, 1)	
Moscow Exchange	etf_ppif		etf_ppif				rgba(199, 21, 133, 1)	
Moscow Exchange	euro_bond		euro_bond				rgba(106, 90, 205, 1)	
Moscow Exchange	exchange_bond		exchange_bond				rgba(255, 99, 71, 1)	
Moscow Exchange	ifi_bond		ifi_bond				rgba(255, 127, 80, 1)	
Moscow Exchange	interval_ppif		interval_ppif				rgba(70, 130, 180, 1)	
Moscow Exchange	municipal_bond		municipal_bond				rgba(60, 179, 113, 1)	
Moscow Exchange	ofz_bond		ofz_bond				rgba(244, 164, 96, 1)	
Moscow Exchange	private_ppif		private_ppif				rgba(238, 232, 170, 1)	
Moscow Exchange	public_ppif		public_ppif				rgba(75, 0, 130, 1)	
Moscow Exchange	state_bond		state_bond				rgba(178, 34, 34, 1)	
Moscow Exchange	stock_mortgage		stock_mortgage				rgba(0, 206, 209, 1)	
Moscow Exchange	subfederal_bond		subfederal_bond				rgba(123, 104, 238, 1)	
Moscow Exchange	Conglomerate		Холдинги				rgba(160,98,49,1)	
Moscow Exchange	Construction (Development)		Строительство				rgba(106,86,137,1)	
Moscow Exchange	Consumer		Потребительский сектор				rgba(102,77,80,1)	
Moscow Exchange	Electricity, Utilities		Электроэнергетика				rgba(96,98,106,1)	
Moscow Exchange	Telecommunication Services		Телекоммуникации				rgba(106,228,127,1)	
Moscow Exchange	Transportation		Транспорт				rgba(54,104,114,1)	
Moscow Exchange	Health Care		Здравоохранение				rgba(163,90,253,1)	
Moscow Exchange	Industrials		Промышленность				rgba(202,224,92,1)	
Moscow Exchange	Information Technologies		Информационные технологии				rgba(183,50,68,1)	
Moscow Exchange	Foreign Companies		Foreign Companies				rgba(32, 178, 170, 1)	
Moscow Exchange	Chemicals and Pertochemicals		Химия и нефтехимия				rgba(54,114,64,1)	
Moscow Exchange	Metals and Mining		Металлы и добыча				rgba(199,131,37,1)	
Moscow Exchange	Financials		Финансы				rgba(139,54,62,1)	
