Date, Open, High, Low, Close
12/15/23, 89.53, 90.91, 88.05, 90.45
12/14/23, 89.35, 90.52, 88.37, 89.48
12/13/23, 90.25, 90.33, 88.64, 89.35
12/12/23, 90.96, 91.00, 89.63, 90.13
12/11/23, 92.16, 92.21, 89.86, 90.96
12/08/23, 92.44, 92.44, 90.74, 92.16
12/07/23, 92.80, 93.56, 92.15, 92.44
12/06/23, 90.21, 93.31, 88.87, 92.80
12/05/23, 91.50, 92.62, 89.44, 90.21
12/04/23, 91.22, 91.63, 90.41, 91.50
12/01/23, 89.97, 91.22, 88.59, 91.22
11/30/23, 88.70, 90.10, 87.86, 89.97
11/29/23, 88.87, 89.22, 88.03, 88.70
11/28/23, 89.08, 89.65, 88.24, 88.88
11/27/23, 89.28, 89.28, 88.20, 89.08
11/24/23, 88.58, 89.59, 88.25, 89.28
11/23/23, 88.40, 89.10, 87.19, 88.58
11/22/23, 88.25, 88.63, 87.61, 88.40
11/21/23, 88.56, 88.67, 86.75, 88.25
11/20/23, 89.73, 90.01, 86.88, 88.56
11/17/23, 89.35, 90.29, 88.39, 89.73
11/16/23, 89.45, 89.70, 88.27, 89.35
11/15/23, 90.53, 91.22, 88.34, 89.45
11/14/23, 91.92, 91.92, 90.15, 90.53
11/13/23, 92.28, 92.49, 91.33, 91.92
11/10/23, 91.67, 92.42, 91.58, 92.28
11/09/23, 91.85, 92.37, 91.67, 91.67
11/08/23, 92.10, 92.45, 91.75, 91.85
11/07/23, 92.66, 92.91, 91.73, 92.10
11/06/23, 92.85, 92.85, 91.92, 92.66
11/03/23, 93.28, 93.66, 91.73, 92.85
11/02/23, 92.61, 94.03, 92.03, 93.28
11/01/23, 93.60, 93.75, 92.06, 92.61
10/31/23, 92.56, 93.72, 91.47, 93.60
10/30/23, 94.20, 94.29, 92.55, 92.56
10/27/23, 93.65, 95.05, 91.64, 94.20
10/26/23, 94.00, 94.19, 93.13, 93.65
10/25/23, 93.48, 94.00, 92.86, 94.00
10/24/23, 94.50, 94.50, 92.50, 93.48
10/23/23, 95.45, 95.77, 93.57, 94.50
10/20/23, 95.84, 97.07, 95.02, 95.45
10/19/23, 98.11, 98.11, 95.83, 95.83
10/18/23, 98.03, 98.11, 96.69, 98.11
10/17/23, 97.43, 98.15, 96.87, 98.03
10/16/23, 97.70, 98.10, 62.62, 97.43
10/13/23, 97.72, 97.92, 96.01, 97.70
10/12/23, 100.50, 100.50, 95.35, 97.72
10/11/23, 100.30, 100.69, 97.75, 99.02
10/10/23, 99.50, 100.80, 98.65, 100.30
10/09/23, 101.00, 103.04, 98.90, 99.75
10/06/23, 100.13, 102.00, 97.58, 101.00
10/05/23, 99.80, 100.22, 54.68, 100.13
10/04/23, 99.18, 101.00, 98.18, 100.35
10/03/23, 98.80, 100.30, 97.71, 99.18
10/02/23, 98.00, 99.60, 96.69, 98.80
09/29/23, 96.25, 98.02, 95.64, 98.00
09/28/23, 97.08, 97.38, 96.03, 96.65
09/27/23, 96.60, 97.08, 94.35, 97.08
09/26/23, 94.92, 97.70, 94.84, 97.00
09/25/23, 96.30, 96.62, 94.98, 95.24
09/22/23, 95.20, 96.55, 95.20, 96.30
09/21/23, 96.03, 96.73, 94.60, 96.10
09/20/23, 96.00, 97.20, 95.56, 96.03
09/19/23, 95.95, 97.75, 94.80, 96.00
09/18/23, 96.80, 97.65, 95.58, 96.35
09/15/23, 96.25, 97.25, 95.10, 96.80
09/14/23, 96.20, 97.06, 95.03, 95.75
09/13/23, 96.00, 97.28, 92.69, 96.30
09/12/23, 95.05, 96.00, 92.51, 96.00
09/11/23, 97.75, 97.75, 95.05, 95.05
09/08/23, 98.50, 98.78, 96.78, 97.93
09/07/23, 98.40, 98.75, 96.87, 98.50
09/06/23, 96.77, 98.50, 96.77, 98.40
09/05/23, 96.88, 98.17, 96.25, 96.94
09/04/23, 96.41, 97.08, 95.72, 96.88
09/01/23, 95.88, 96.72, 95.17, 96.41
08/31/23, 96.15, 96.80, 95.30, 95.88
08/30/23, 95.42, 97.06, 95.38, 96.15
08/29/23, 94.50, 96.53, 93.31, 95.42
08/28/23, 95.00, 96.15, 94.00, 94.50
08/25/23, 94.50, 95.69, 93.66, 95.00
08/24/23, 94.00, 95.12, 92.14, 94.75
08/23/23, 94.50, 95.00, 93.40, 94.00
08/22/23, 93.50, 95.00, 92.90, 94.75
08/21/23, 94.10, 94.92, 92.69, 93.50
08/18/23, 94.50, 96.00, 91.90, 94.10
08/17/23, 97.35, 97.35, 91.50, 94.50
08/16/23, 99.00, 99.00, 93.19, 94.50
08/15/23, 97.00, 99.63, 95.00, 98.00
08/14/23, 100.00, 102.38, 97.00, 97.00
08/11/23, 97.33, 100.00, 96.49, 100.00
08/10/23, 96.88, 98.00, 95.71, 97.33
08/09/23, 97.20, 98.39, 95.72, 96.88
08/08/23, 95.63, 97.69, 94.56, 97.20
08/07/23, 95.88, 97.37, 95.03, 95.63
08/04/23, 94.50, 97.41, 91.02, 95.88
08/03/23, 94.31, 96.50, 92.44, 94.50
08/02/23, 92.41, 94.45, 91.15, 94.31
08/01/23, 91.44, 92.41, 90.59, 92.41
07/31/23, 92.06, 92.52, 90.42, 91.44
07/28/23, 90.70, 92.28, 89.30, 92.06
07/27/23, 90.00, 90.80, 88.83, 90.70
07/26/23, 90.25, 90.41, 88.90, 90.00
07/25/23, 90.45, 90.63, 88.89, 90.62
07/24/23, 91.00, 91.06, 88.81, 90.45
07/21/23, 90.40, 91.10, 89.38, 91.00
07/20/23, 91.72, 91.95, 90.13, 91.20
07/19/23, 90.75, 91.72, 90.23, 91.72
07/18/23, 90.35, 91.46, 89.36, 90.75
07/17/23, 90.25, 90.89, 89.73, 90.13
07/14/23, 90.13, 90.61, 89.58, 90.25
07/13/23, 90.50, 91.44, 89.45, 90.13
07/12/23, 90.50, 90.98, 89.45, 90.50
07/11/23, 91.10, 91.10, 89.73, 90.25
07/10/23, 91.26, 95.00, 90.51, 90.55
07/07/23, 91.25, 92.41, 90.00, 91.26
07/06/23, 90.80, 94.57, 89.98, 91.25
07/05/23, 91.00, 91.25, 88.77, 90.40
07/04/23, 89.50, 91.00, 88.05, 91.00
07/03/23, 87.95, 90.00, 87.95, 89.50
06/30/23, 86.86, 89.80, 86.86, 88.83
06/29/23, 85.89, 87.75, 84.01, 86.86
06/28/23, 85.47, 86.88, 84.80, 85.89
06/27/23, 84.41, 85.76, 84.41, 85.47
06/26/23, 83.65, 87.01, 83.60, 84.41
06/23/23, 80.98, 85.50, 80.98, 83.65
06/22/23, 83.65, 84.20, 80.98, 80.98
06/21/23, 83.85, 85.37, 83.49, 84.32
06/20/23, 83.85, 84.95, 82.99, 84.75
06/19/23, 83.88, 84.62, 83.01, 83.85
06/16/23, 83.48, 84.14, 83.23, 83.88
06/15/23, 84.00, 84.61, 82.90, 83.48
06/14/23, 83.95, 85.52, 82.15, 84.00
06/13/23, 83.88, 84.36, 82.41, 84.22
06/12/23, 82.72, 83.88, 82.01, 83.88
06/09/23, 82.01, 83.08, 81.51, 82.72
06/08/23, 81.55, 82.85, 80.27, 82.01
06/07/23, 81.35, 82.00, 80.33, 82.00
06/06/23, 80.80, 81.71, 79.66, 81.62
06/05/23, 80.80, 82.15, 80.13, 80.80
06/02/23, 81.00, 81.51, 80.38, 80.80
06/01/23, 81.55, 81.55, 80.11, 81.00
05/31/23, 79.64, 81.63, 79.51, 81.55
05/30/23, 80.25, 81.63, 75.19, 79.64
05/29/23, 79.00, 82.22, 78.94, 80.59
05/26/23, 80.03, 80.82, 79.00, 79.00
05/25/23, 80.21, 80.53, 79.02, 80.03
05/24/23, 80.16, 80.61, 78.84, 80.61
05/23/23, 80.50, 80.77, 79.45, 80.16
05/22/23, 80.10, 80.50, 79.01, 80.50
05/19/23, 80.40, 81.33, 79.06, 80.10
