date,marketCap,traceName
2011-12-19,231300850000,total
2011-12-26,24674431684624.566,total
2012-01-03,25420679140591.05,total
2012-01-09,25586874157251.027,total
2012-01-16,25838795223934.5,total
2012-01-23,26451721453033.707,total
2012-01-30,26590740112984.195,total
2012-02-06,27715393829137.715,total
2012-02-13,27409830394110.26,total
2012-02-20,27841613933489.875,total
2012-02-27,28096577554362.97,total
2012-03-05,28572201279683.848,total
2012-03-12,28310591475989.094,total
2012-03-19,28125209496059.64,total
2012-03-26,27406850437978.926,total
2012-04-02,27000314486275.25,total
2012-04-09,26507078881652.367,total
2012-04-16,26575557969028.81,total
2012-04-23,26243375641322.258,total
2012-05-02,26047691712329.035,total
2012-05-07,24446134566184.2,total
2012-05-14,24123748837422.31,total
2012-05-21,22978346273113.664,total
2012-05-28,23188247784005.062,total
2012-06-04,23029140526756.395,total
2012-06-13,23837010069628.164,total
2012-06-18,24388871981420.79,total
2012-06-25,23644968086389.54,total
2012-07-02,24527549474354.5,total
2012-07-09,24698355790894.73,total
2012-07-16,24778991955569.188,total
2012-07-23,24245779896589.67,total
2012-07-30,24872702638271.445,total
2012-08-06,24924886355916.582,total
2012-08-13,25265028170901.574,total
2012-08-20,24675816599789.293,total
2012-08-27,24968070673536.195,total
2012-09-03,24786440026451.445,total
2012-09-10,25469064046382.32,total
2012-09-17,26366405030011.72,total
2012-09-24,25472338411820.145,total
2012-10-01,25332559762368.637,total
2012-10-08,25248511789407.07,total
2012-10-15,24782010307866.406,total
2012-10-22,25047568318030.07,total
2012-10-29,24384294774355.984,total
2012-11-06,24596859279935.113,total
2012-11-12,23933267348230.414,total
2012-11-19,23856782865013.08,total
2012-11-26,23913418875162.273,total
2012-12-03,24449564069650.312,total
2012-12-10,24887494017066.57,total
2012-12-17,25163392626902.96,total
2012-12-24,25321035446885.74,total
2013-01-08,25949723578269.625,total
2013-01-08,25949723578269.625,total
2013-01-14,26146909897044.074,total
2013-01-21,26375260960359.254,total
2013-01-28,26916071179471.785,total
2013-02-04,26667162915594.043,total
2013-02-11,26362319500536.266,total
2013-02-18,25955725264063.918,total
2013-02-25,25823391605100.16,total
2013-03-04,25153830240674.633,total
2013-03-11,25861704311087.11,total
2013-03-18,25078678996547.273,total
2013-03-25,24697293067265.9,total
2013-04-01,24265886369086.383,total
2013-04-08,23926244172120.867,total
2013-04-15,23076404436574.055,total
2013-04-22,22713026947233.402,total
2013-04-29,23095582380646.258,total
2013-05-06,23839801311463.19,total
2013-05-13,23823676295972.777,total
2013-05-20,23638875559928.773,total
2013-05-27,23213113878805.406,total
2013-06-03,22752006181614.473,total
2013-06-10,22803090803712.332,total
2013-06-17,22445667442670.457,total
2013-06-24,22415543340073.95,total
2013-07-01,22904240729671.562,total
2013-07-08,23173269469453.46,total
2013-07-15,24038811316107.555,total
2013-07-22,24258769153693.08,total
2013-07-29,23987938963440.13,total
2013-08-05,23881846513274.74,total
2013-08-12,23792254871179.934,total
2013-08-19,23801186917197.258,total
2013-08-26,24037541822123.188,total
2013-09-02,23802083764206.68,total
2013-09-09,25018725266239.066,total
2013-09-16,25119375398384.66,total
2013-09-23,25071725188820.016,total
2013-09-30,25299370619992.223,total
2013-10-07,25519287064765.555,total
2013-10-14,25984184084830.89,total
2013-10-21,26320641838637.74,total
2013-10-28,26973646759721.33,total
2013-11-05,26919566904833.31,total
2013-11-11,25532733892326.49,total
2013-11-18,25666134308363.41,total
2013-11-25,25650370464837.293,total
2013-12-02,25172568542929.184,total
2013-12-09,24944121058435.703,total
2013-12-16,24901358667156.25,total
2013-12-23,25719460196780.406,total
2013-12-30,25763285877746.363,total
2014-01-06,25496285836643.254,total
2014-01-13,25417288210788.914,total
2014-01-20,25647181854063.273,total
2014-01-27,25533577569298.184,total
2014-02-03,25088089228597.074,total
2014-02-10,25525165099744.81,total
2014-02-17,25889604731933.293,total
2014-02-24,25598699244635.08,total
2014-03-03,22825992431877.598,total
2014-03-11,23119509591582.793,total
2014-03-17,22344828153728.875,total
2014-03-24,22988743893289.64,total
2014-03-31,23651118791715.93,total
2014-04-07,23512076007073.39,total
2014-04-14,23586895424231.09,total
2014-04-21,23649467761216.777,total
2014-04-28,22577989366417.04,total
2014-05-05,22802672248517.742,total
2014-05-12,23909216627328.242,total
2014-05-19,24304930533101.53,total
2014-05-26,24813727436174.297,total
2014-06-02,24901152384764.582,total
2014-06-09,25570390931901.535,total
2014-06-16,25668139773460.35,total
2014-06-23,25653081564091.074,total
2014-06-30,25470942619177.586,total
2014-07-07,25943616992444.297,total
2014-07-14,25632018429589.24,total
2014-07-21,24183240864120.184,total
2014-07-28,23598131974864.586,total
2014-08-04,23754764776831.24,total
2014-08-11,23771617149821.055,total
2014-08-18,23480443028425.76,total
2014-08-25,23955137646820.883,total
2014-09-01,23194478265411.062,total
2014-09-08,24073907483702.715,total
2014-09-15,23796088906130.273,total
2014-09-22,23347876614512.176,total
2014-09-29,23235182455220.586,total
2014-10-06,23092640959044.254,total
2014-10-13,22622420187535.625,total
2014-10-20,22635697214304.734,total
2014-10-27,22808164459954.76,total
2014-11-03,24207866806878.938,total
2014-11-10,24433608896991.49,total
2014-11-17,24367088953590.855,total
2014-11-24,24604801180157.44,total
2014-12-01,25212310535728.58,total
2014-12-08,24089033387846.35,total
2014-12-15,23326655591479.996,total
2014-12-22,23434229118072.69,total
2014-12-29,23875889595274.035,total
2015-01-05,23520776404907.996,total
2015-01-12,24803927038677.625,total
2015-01-19,26316235923574.93,total
2015-01-26,26927088562060.047,total
2015-02-02,27031963179787.97,total
2015-02-09,29219103158821.094,total
2015-02-16,29908760562158.297,total
2015-02-24,29154784733175.914,total
2015-03-02,29437974903481.996,total
2015-03-10,28030429122741.684,total
2015-03-16,26985588073611.797,total
2015-03-23,26782416927495.008,total
2015-03-30,27101636670661.477,total
2015-04-06,28472466462610.164,total
2015-04-13,28095068988645.695,total
2015-04-20,28091832985060.46,total
2015-04-27,28240232099925.633,total
2015-05-05,28819938491647.387,total
2015-05-12,28670601267001.664,total
2015-05-18,28386194657240.207,total
2015-05-25,27840499560323.895,total
2015-06-01,27453290631366.652,total
2015-06-08,27825441711041.6,total
2015-06-15,27667762899979.867,total
2015-06-22,28173930089752.934,total
2015-06-29,27548378574749.21,total
2015-07-06,27198092037977.48,total
2015-07-13,27453993585896.535,total
2015-07-20,27612309936908.957,total
2015-07-27,26817919952137.508,total
2015-08-03,28019191786953.58,total
2015-08-10,28550417545914.496,total
2015-08-17,28959587749598.33,total
2015-08-24,27846869315693.934,total
2015-08-31,29183646472255.703,total
2015-09-07,29030081203430.86,total
2015-09-14,29640096096402.395,total
2015-09-21,29190984276310.02,total
2015-09-28,27893138704262.547,total
2015-10-05,28157967422335.543,total
2015-10-12,29119245170763.117,total
2015-10-19,28911401219951.777,total
2015-10-26,28956793190141.254,total
2015-11-02,29214300620436.777,total
2015-11-09,29625877069101.434,total
2015-11-16,29419167266084.324,total
2015-11-23,30811105495514.477,total
2015-11-30,29945095025393.484,total
2015-12-07,28637363675111.227,total
2015-12-14,28133964875983.07,total
2015-12-21,28474454354674.92,total
2015-12-28,28412858108252.25,total
2016-01-04,28632248424954.457,total
2016-01-11,27640788280751.62,total
2016-01-18,26627427378547.965,total
2016-01-25,28273813798058.49,total
2016-02-01,29314536082442.38,total
2016-02-08,29300661158420.992,total
2016-02-15,29344719472713.215,total
2016-02-22,30410450092328.625,total
2016-02-29,30688671691873.17,total
2016-03-07,31755419084857.875,total
2016-03-14,31360164992814.582,total
2016-03-21,31759208601231.73,total
2016-03-28,31309651436864.902,total
2016-04-04,31437248306687.28,total
2016-04-11,31878414977689.156,total
2016-04-18,31691152772429.625,total
2016-04-25,32984775866752.637,total
2016-05-04,32375923862631.227,total
2016-05-10,31727586190900.06,total
2016-05-16,32324315489859.79,total
2016-05-23,31715176288906.277,total
2016-05-30,32427584861933.64,total
2016-06-06,32229123618252.17,total
2016-06-14,31859852089603.47,total
2016-06-20,32139982217487.008,total
2016-06-27,31499059310488.223,total
2016-07-04,32179500498308.84,total
2016-07-11,32071469986120.125,total
2016-07-18,32641720725382.844,total
2016-07-25,32749762287819.63,total
2016-08-01,33051792742115.953,total
2016-08-08,33093167018780.496,total
2016-08-15,33485747572616.484,total
2016-08-22,33451610040067.664,total
2016-08-29,33618707783450.203,total
2016-09-05,34281899087041.535,total
2016-09-12,34448666020018.96,total
