date,marketCap,traceName
2015-01-05,124100779484.89001,Industrials
2015-01-08,128648352801.87999,Industrials
2015-01-15,129776482390.68,Industrials
2015-01-22,129496142822.07999,Industrials
2015-01-29,129783303987.96,Industrials
2015-02-05,145385784032.67,Industrials
2015-02-12,157576191088.26,Industrials
2015-02-19,160596103869.2,Industrials
2015-02-26,158907474415.44,Industrials
2015-03-05,161320533912.78,Industrials
2015-03-12,160754925523.99,Industrials
2015-03-19,157813335931.09,Industrials
2015-03-26,144088138310.94003,Industrials
2015-04-02,151391705203.11,Industrials
2015-04-09,171144746749.14996,Industrials
2015-04-16,175787299157.49997,Industrials
2015-04-23,168901863455.49997,Industrials
2015-04-30,250620120971.64,Industrials
2015-05-07,247913504530.68,Industrials
2015-05-14,248986035523.33997,Industrials
2015-05-21,245532310429.35,Industrials
2015-05-28,254773822267.12,Industrials
2015-06-04,249018296324.89996,Industrials
2015-06-11,249631967303.4,Industrials
2015-06-18,247972033490.38004,Industrials
2015-06-25,246818251284.63,Industrials
2015-07-02,250221017706.02,Industrials
2015-07-09,245619525838.68,Industrials
2015-07-16,246230581962.68,Industrials
2015-07-23,246729155633.5,Industrials
2015-07-30,246090374541.86,Industrials
2015-08-06,244811275762.73,Industrials
2015-08-13,247281536359.05002,Industrials
2015-08-20,242491021898.65002,Industrials
2015-08-27,243230793669.50998,Industrials
2015-09-03,250311582625.12003,Industrials
2015-09-10,249858086398.00003,Industrials
2015-09-17,250145527224.40002,Industrials
2015-09-24,248042363872.6,Industrials
2015-10-01,247680556848.88,Industrials
2015-10-08,242534628087.20996,Industrials
2015-10-15,249565719744.87,Industrials
2015-10-22,248052797462.98004,Industrials
2015-10-29,248140618999.51,Industrials
2015-11-05,248380872221.35,Industrials
2015-11-12,247329310823.88998,Industrials
2015-11-19,249446842318.27,Industrials
2015-11-26,248046792488.36,Industrials
2015-12-03,248894803490.61002,Industrials
2015-12-10,244554821137.45,Industrials
2015-12-17,249149297199.25998,Industrials
2015-12-24,258396239117.34003,Industrials
2016-01-04,309787324708.18005,Industrials
2015-01-05,776453429636.69,Chemicals and Pertochemicals
2015-01-08,820634639366.8401,Chemicals and Pertochemicals
2015-01-15,831434297561.3401,Chemicals and Pertochemicals
2015-01-22,889779767631.1399,Chemicals and Pertochemicals
2015-01-29,1018897832320.99,Chemicals and Pertochemicals
2015-02-05,1016067144029.6399,Chemicals and Pertochemicals
2015-02-12,1057067097997.88,Chemicals and Pertochemicals
2015-02-19,1005858278637.74,Chemicals and Pertochemicals
2015-02-26,983890766442.23,Chemicals and Pertochemicals
2015-03-05,1044293107646.73,Chemicals and Pertochemicals
2015-03-12,985003570669.21,Chemicals and Pertochemicals
2015-03-19,948236445333.8401,Chemicals and Pertochemicals
2015-03-26,914205021068.54,Chemicals and Pertochemicals
2015-04-02,937293119708.72,Chemicals and Pertochemicals
2015-04-09,935787466964.44,Chemicals and Pertochemicals
2015-04-16,934202778764.23,Chemicals and Pertochemicals
2015-04-23,952848721522.49,Chemicals and Pertochemicals
2015-04-30,922560230613.3301,Chemicals and Pertochemicals
2015-05-07,912034372587.13,Chemicals and Pertochemicals
2015-05-14,922242996182.19,Chemicals and Pertochemicals
2015-05-21,909891569140.3,Chemicals and Pertochemicals
2015-05-28,947189094645.25,Chemicals and Pertochemicals
2015-06-04,929974945829.15,Chemicals and Pertochemicals
2015-06-11,916279650838.2,Chemicals and Pertochemicals
2015-06-18,912660030708.4,Chemicals and Pertochemicals
2015-06-25,895977961122.9,Chemicals and Pertochemicals
2015-07-02,913466555411.94,Chemicals and Pertochemicals
2015-07-09,940085961332.99,Chemicals and Pertochemicals
2015-07-16,1001197749970.9199,Chemicals and Pertochemicals
2015-07-23,988652259961.9199,Chemicals and Pertochemicals
2015-07-30,1008907188985.92,Chemicals and Pertochemicals
2015-08-06,1105308793937.17,Chemicals and Pertochemicals
2015-08-13,1177570758933.37,Chemicals and Pertochemicals
2015-08-20,1215849547586.2998,Chemicals and Pertochemicals
2015-08-27,1243075489868.5498,Chemicals and Pertochemicals
2015-09-03,1228246047183.81,Chemicals and Pertochemicals
2015-09-10,1257885783891.31,Chemicals and Pertochemicals
2015-09-17,1253867843727.06,Chemicals and Pertochemicals
2015-09-24,1163600439247.83,Chemicals and Pertochemicals
2015-10-01,1195591362202.33,Chemicals and Pertochemicals
2015-10-08,1172808027940.63,Chemicals and Pertochemicals
2015-10-15,1146530453427.22,Chemicals and Pertochemicals
2015-10-22,1095854436341.23,Chemicals and Pertochemicals
2015-10-29,1091117385069.83,Chemicals and Pertochemicals
2015-11-05,1083742355850.0599,Chemicals and Pertochemicals
2015-11-12,1103575770648.5,Chemicals and Pertochemicals
2015-11-19,1138605763893.78,Chemicals and Pertochemicals
2015-11-26,1169120634657.4302,Chemicals and Pertochemicals
2015-12-03,1170094078761.01,Chemicals and Pertochemicals
2015-12-10,1189030119116.93,Chemicals and Pertochemicals
2015-12-17,1237121910777.87,Chemicals and Pertochemicals
2015-12-24,1217539755282.74,Chemicals and Pertochemicals
2016-01-04,1222993250567.38,Chemicals and Pertochemicals
2015-01-05,3991346393655.7905,Metals and Mining
2015-01-08,4229975802378.16,Metals and Mining
2015-01-15,4430168854714.75,Metals and Mining
2015-01-22,4692298612957.911,Metals and Mining
2015-01-29,5066918201086.57,Metals and Mining
2015-02-05,5004486490966.97,Metals and Mining
2015-02-12,5127307896054.62,Metals and Mining
2015-02-19,4976763221648.819,Metals and Mining
2015-02-26,4891385436268.739,Metals and Mining
2015-03-05,5014614168809.811,Metals and Mining
2015-03-12,4854288944903.109,Metals and Mining
2015-03-19,4783452347269.051,Metals and Mining
2015-03-26,4540088607094.83,Metals and Mining
2015-04-02,5129734214110.761,Metals and Mining
2015-04-09,4865366900080.619,Metals and Mining
2015-04-16,4710565055539.221,Metals and Mining
2015-04-23,4738426224032.08,Metals and Mining
2015-04-30,4857033243101.569,Metals and Mining
2015-05-07,4948428447904.681,Metals and Mining
2015-05-14,5016855988685.391,Metals and Mining
2015-05-21,4967697010790.13,Metals and Mining
2015-05-28,4905163802668.881,Metals and Mining
2015-06-04,4868881446779.649,Metals and Mining
2015-06-11,4897780873861.85,Metals and Mining
2015-06-18,4888465154621.0,Metals and Mining
2015-06-25,4874368757291.77,Metals and Mining
2015-07-02,4835480851576.4795,Metals and Mining
2015-07-09,4817923080484.029,Metals and Mining
2015-07-16,5056691359598.02,Metals and Mining
2015-07-23,4966182488594.84,Metals and Mining
2015-07-30,5036374223273.21,Metals and Mining
2015-08-06,5310141542930.028,Metals and Mining
2015-08-13,5498734201059.34,Metals and Mining
2015-08-20,5547876576928.561,Metals and Mining
2015-08-27,5551564220612.299,Metals and Mining
2015-09-03,5680854195886.32,Metals and Mining
2015-09-10,5900864283447.44,Metals and Mining
2015-09-17,5821339267052.03,Metals and Mining
2015-09-24,5457617735875.76,Metals and Mining
2015-10-01,5360680005597.21,Metals and Mining
2015-10-08,5244870085362.351,Metals and Mining
2015-10-15,5408891225997.31,Metals and Mining
2015-10-22,5316356408140.9,Metals and Mining
2015-10-29,5369210769642.892,Metals and Mining
2015-11-05,5387966165609.501,Metals and Mining
2015-11-12,5291331396984.291,Metals and Mining
2015-11-19,5365132369062.699,Metals and Mining
2015-11-26,5309095005655.08,Metals and Mining
2015-12-03,5185333467725.921,Metals and Mining
2015-12-10,4465415808267.38,Metals and Mining
2015-12-17,4550014409380.93,Metals and Mining
2015-12-24,4571216304713.83,Metals and Mining
2016-01-04,4497598996289.48,Metals and Mining
2015-01-05,115896500000,Conglomerate
2015-01-08,123809500000,Conglomerate
2015-01-15,122555000000,Conglomerate
2015-01-22,132591000000,Conglomerate
2015-01-29,121397000000,Conglomerate
2015-02-05,157198500000,Conglomerate
2015-02-12,174568500000,Conglomerate
2015-02-19,173507000000,Conglomerate
2015-02-26,174472000000,Conglomerate
2015-03-05,170033000000,Conglomerate
2015-03-12,147548500000,Conglomerate
2015-03-19,160383000000,Conglomerate
2015-03-26,165787000000,Conglomerate
2015-04-02,169936500000,Conglomerate
2015-04-09,157681000000,Conglomerate
2015-04-16,165787000000,Conglomerate
2015-04-23,153821000000,Conglomerate
2015-04-30,153435000000,Conglomerate
2015-05-07,154882500000,Conglomerate
2015-05-14,158453000000,Conglomerate
2015-05-21,163085000000,Conglomerate
2015-05-28,164243000000,Conglomerate
2015-06-04,164339500000,Conglomerate
2015-06-11,173024500000,Conglomerate
2015-06-18,175823000000,Conglomerate
2015-06-25,184604500000,Conglomerate
2015-07-02,189526000000,Conglomerate
2015-07-09,177656500000,Conglomerate
2015-07-16,189815500000,Conglomerate
2015-07-23,194544000000,Conglomerate
2015-07-30,199465500000,Conglomerate
2015-08-06,203132500000,Conglomerate
2015-08-13,203229000000,Conglomerate
2015-08-20,195991500000,Conglomerate
2015-08-27,192807000000,Conglomerate
2015-09-03,191745500000,Conglomerate
2015-09-10,189333000000,Conglomerate
2015-09-17,183832500000,Conglomerate
2015-09-24,178042500000,Conglomerate
2015-10-01,176402000000,Conglomerate
2015-10-08,172156000000,Conglomerate
2015-10-15,180262000000,Conglomerate
2015-10-22,171287500000,Conglomerate
2015-10-29,170805000000,Conglomerate
2015-11-05,172493750000,Conglomerate
2015-11-12,160141750000,Conglomerate
2015-11-19,168054750000,Conglomerate
2015-11-26,171528750000,Conglomerate
2015-12-03,174279000000,Conglomerate
2015-12-10,164966750000,Conglomerate
2015-12-17,174086000000,Conglomerate
2015-12-24,169936500000,Conglomerate
2016-01-04,168875000000,Conglomerate
2015-01-05,189286350477.09998,Construction (Development)
2015-01-08,198110194229.89996,Construction (Development)
2015-01-15,189489951991.15002,Construction (Development)
2015-01-22,186246689525.59,Construction (Development)
2015-01-29,189910723416.69,Construction (Development)
2015-02-05,190049679938.84,Construction (Development)
2015-02-12,213097650236.4,Construction (Development)
2015-02-19,207042468830.19998,Construction (Development)
2015-02-26,207109460443.69,Construction (Development)
2015-03-05,215669913118.59,Construction (Development)
2015-03-12,211670148200.68997,Construction (Development)
2015-03-19,213303561707.49997,Construction (Development)
2015-03-26,225538186126.2,Construction (Development)
2015-04-02,220766017873.0,Construction (Development)
2015-04-09,214571850070.89,Construction (Development)
2015-04-16,212979781913.46002,Construction (Development)
2015-04-23,210373817028.01,Construction (Development)
2015-04-30,211695982519.41003,Construction (Development)
2015-05-07,209555746072.51,Construction (Development)
2015-05-14,215269800692.46,Construction (Development)
2015-05-21,216645309429.76,Construction (Development)
2015-05-28,218119152390.1,Construction (Development)
2015-06-04,211334172614.75,Construction (Development)
2015-06-11,201309001609.25,Construction (Development)
2015-06-18,203600585956.5,Construction (Development)
2015-06-25,204077365753.7,Construction (Development)
2015-07-02,199321837810.1,Construction (Development)
2015-07-09,195885315776.30002,Construction (Development)
2015-07-16,201109666649.30002,Construction (Development)
2015-07-23,188356179310.9,Construction (Development)
2015-07-30,193782932090.1,Construction (Development)
2015-08-06,189254712086.2,Construction (Development)
2015-08-13,198535703293.95,Construction (Development)
2015-08-20,203671037645.05,Construction (Development)
2015-08-27,203827706494.9,Construction (Development)
2015-09-03,203673234978.4,Construction (Development)
2015-09-10,214134752558.44998,Construction (Development)
2015-09-17,208025509608.55,Construction (Development)
2015-09-24,200948770116.3,Construction (Development)
2015-10-01,209178170427.06,Construction (Development)
2015-10-08,227943919724.90997,Construction (Development)
2015-10-15,230843738457.06,Construction (Development)
2015-10-22,232421479397.66003,Construction (Development)
2015-10-29,232095024514.96002,Construction (Development)
2015-11-05,250578284447.21002,Construction (Development)
2015-11-12,241640131995.96002,Construction (Development)
2015-11-19,235753500420.31003,Construction (Development)
2015-11-26,241625681549.65,Construction (Development)
2015-12-03,248156508005.65,Construction (Development)
2015-12-10,244817816741.2,Construction (Development)
2015-12-17,240951274882.55002,Construction (Development)
2015-12-24,237137283929.3,Construction (Development)
2016-01-04,238725390016.05002,Construction (Development)
2015-01-05,1182579919029.2898,Telecommunication Services
2015-01-08,1252155178224.6602,Telecommunication Services
2015-01-15,1332293965651.3499,Telecommunication Services
2015-01-22,1395123904351.92,Telecommunication Services
2015-01-29,1337830458477.83,Telecommunication Services
2015-02-05,1385292793126.9,Telecommunication Services
2015-02-12,1467703378517.76,Telecommunication Services
2015-02-19,1496508344678.91,Telecommunication Services
2015-02-26,1464017913571.4001,Telecommunication Services
2015-03-05,1459939527147.5898,Telecommunication Services
2015-03-12,1359653613448.74,Telecommunication Services
2015-03-19,1306726371123.47,Telecommunication Services
2015-03-26,1354154070808.85,Telecommunication Services
