date,marketCap,traceName
2022-01-03,1754470638948.25,Chemicals and Pertochemicals
2022-01-03,1754470638948.25,Chemicals and Pertochemicals
2022-01-03,1754470638948.25,Chemicals and Pertochemicals
2022-01-04,1756031344478.95,Chemicals and Pertochemicals
2022-01-05,1741912875444.15,Chemicals and Pertochemicals
2022-01-06,1699143706448.88,Chemicals and Pertochemicals
2022-01-07,1697978206448.88,Chemicals and Pertochemicals
2022-01-10,1682968913718.49,Chemicals and Pertochemicals
2022-01-10,1682968913718.49,Chemicals and Pertochemicals
2022-01-10,1682968913718.49,Chemicals and Pertochemicals
2022-01-11,1696000782205.12,Chemicals and Pertochemicals
2022-01-12,1726664543473.02,Chemicals and Pertochemicals
2022-01-13,1732563348907.3599,Chemicals and Pertochemicals
2022-01-14,1689199528972.33,Chemicals and Pertochemicals
2022-01-17,1692809776492.74,Chemicals and Pertochemicals
2022-01-17,1692809776492.74,Chemicals and Pertochemicals
2022-01-17,1692809776492.74,Chemicals and Pertochemicals
2022-01-18,1654939671661.08,Chemicals and Pertochemicals
2022-01-19,1662320216748.0898,Chemicals and Pertochemicals
2022-01-20,1674406748147.04,Chemicals and Pertochemicals
2022-01-21,1636672222859.1,Chemicals and Pertochemicals
2022-01-24,1582455505184.67,Chemicals and Pertochemicals
2022-01-24,1582455505184.67,Chemicals and Pertochemicals
2022-01-24,1582455505184.67,Chemicals and Pertochemicals
2022-01-25,1582085470891.03,Chemicals and Pertochemicals
2022-01-26,1632186485786.9,Chemicals and Pertochemicals
2022-01-27,1642738093859.11,Chemicals and Pertochemicals
2022-01-28,1661330239514.73,Chemicals and Pertochemicals
2022-01-31,1689907534651.52,Chemicals and Pertochemicals
2022-01-31,1689907534651.52,Chemicals and Pertochemicals
2022-01-31,1689907534651.52,Chemicals and Pertochemicals
2022-02-01,1725300703453.44,Chemicals and Pertochemicals
2022-02-02,1730688603844.19,Chemicals and Pertochemicals
2022-02-03,1689142584325.08,Chemicals and Pertochemicals
2022-02-04,1703497101734.8,Chemicals and Pertochemicals
2022-02-07,1770093092021.8599,Chemicals and Pertochemicals
2022-02-07,1770093092021.8599,Chemicals and Pertochemicals
2022-02-07,1770093092021.8599,Chemicals and Pertochemicals
2022-02-08,1840768635622.6,Chemicals and Pertochemicals
2022-02-09,1833555167871.15,Chemicals and Pertochemicals
2022-02-10,1869089629210.9,Chemicals and Pertochemicals
2022-02-11,1855319962814.17,Chemicals and Pertochemicals
2022-02-14,1835680064495.08,Chemicals and Pertochemicals
2022-02-14,1835680064495.08,Chemicals and Pertochemicals
2022-02-14,1835680064495.08,Chemicals and Pertochemicals
2022-02-15,1880122338197.08,Chemicals and Pertochemicals
2022-02-16,1917040719830.92,Chemicals and Pertochemicals
2022-02-17,1879585194139.25,Chemicals and Pertochemicals
2022-02-18,1846606626916.5898,Chemicals and Pertochemicals
2022-02-21,1751010403683.22,Chemicals and Pertochemicals
2022-02-21,1751010403683.22,Chemicals and Pertochemicals
2022-02-21,1751010403683.22,Chemicals and Pertochemicals
2022-02-22,1648072409063.26,Chemicals and Pertochemicals
2022-02-23,1651957409063.26,Chemicals and Pertochemicals
2022-02-24,1409573072050.31,Chemicals and Pertochemicals
2022-02-25,1594654482357.6,Chemicals and Pertochemicals
2022-02-28,1595172482357.6,Chemicals and Pertochemicals
2022-02-28,1595172482357.6,Chemicals and Pertochemicals
2022-02-28,1595172482357.6,Chemicals and Pertochemicals
2022-03-01,1595172482357.6,Chemicals and Pertochemicals
2022-03-02,1595172482357.6,Chemicals and Pertochemicals
2022-03-03,1595172482357.6,Chemicals and Pertochemicals
2022-03-04,1595687598358,Chemicals and Pertochemicals
2022-03-09,1595172482357.6,Chemicals and Pertochemicals
2022-03-09,1595172482357.6,Chemicals and Pertochemicals
2022-03-09,1595172482357.6,Chemicals and Pertochemicals
2022-03-09,1595172482357.6,Chemicals and Pertochemicals
2022-03-09,1595172482357.6,Chemicals and Pertochemicals
2022-03-10,1595172482357.6,Chemicals and Pertochemicals
2022-03-11,1595172482357.6,Chemicals and Pertochemicals
2022-03-14,1595172482357.6,Chemicals and Pertochemicals
2022-03-14,1595172482357.6,Chemicals and Pertochemicals
2022-03-14,1595172482357.6,Chemicals and Pertochemicals
2022-03-15,1595172482357.6,Chemicals and Pertochemicals
2022-03-16,1595172482357.6,Chemicals and Pertochemicals
2022-03-17,1595172482357.6,Chemicals and Pertochemicals
2022-03-18,1595172482357.6,Chemicals and Pertochemicals
2022-03-21,1595172482357.6,Chemicals and Pertochemicals
2022-03-21,1595172482357.6,Chemicals and Pertochemicals
2022-03-21,1595172482357.6,Chemicals and Pertochemicals
2022-03-22,1595172482357.6,Chemicals and Pertochemicals
2022-03-23,1595172482357.6,Chemicals and Pertochemicals
2022-03-24,1760025982357.6,Chemicals and Pertochemicals
2022-03-25,1826847982357.6,Chemicals and Pertochemicals
2022-03-28,2145748994272.6401,Chemicals and Pertochemicals
2022-03-28,2145748994272.6401,Chemicals and Pertochemicals
2022-03-28,2145748994272.6401,Chemicals and Pertochemicals
2022-03-29,2667911148737.9,Chemicals and Pertochemicals
2022-03-30,2457892252693.4697,Chemicals and Pertochemicals
2022-03-31,2461668327681.2,Chemicals and Pertochemicals
2022-04-01,2298837060713.19,Chemicals and Pertochemicals
2022-04-04,2251809077477.99,Chemicals and Pertochemicals
2022-04-04,2251809077477.99,Chemicals and Pertochemicals
2022-04-04,2251809077477.99,Chemicals and Pertochemicals
2022-04-05,2109657930472.33,Chemicals and Pertochemicals
