Date,Open,High,Low,Close
2011-12-19,5.0709,5.0709,5.0709,5.0709
2011-12-20,5.0508,5.0508,5.0508,5.0508
2011-12-21,4.9944,4.9944,4.9944,4.9944
2011-12-22,4.9557,4.9557,4.9557,4.9557
2011-12-23,4.9049,4.9049,4.9049,4.9049
2011-12-27,4.9963,4.9963,4.9963,4.9963
2011-12-28,4.9785,4.9785,4.9785,4.9785
2011-12-29,5.1121,5.1121,5.1121,5.1121
2011-12-30,5.0972,5.0972,5.0972,5.0972
2012-01-04,4.9845,4.9845,4.9845,4.9845
2012-01-05,5.0708,5.0708,5.0708,5.0708
2012-01-06,5.0426,5.0426,5.0426,5.0426
2012-01-09,5.0499,5.0499,5.0499,5.0499
2012-01-10,5.0172,5.0172,5.0172,5.0172
2012-01-11,5,5,5,5
2012-01-12,5.044,5.044,5.044,5.044
2012-01-13,4.9963,4.9963,4.9963,4.9963
2012-01-16,5.0164,5.0164,5.0164,5.0164
2012-01-17,4.9963,4.9963,4.9963,4.9963
2012-01-18,4.9926,4.9926,4.9926,4.9926
2012-01-19,4.9766,4.9766,4.9766,4.9766
2012-01-20,4.9737,4.9737,4.9737,4.9737
2012-01-30,4.806,4.806,4.806,4.806
2012-01-31,4.7601,4.7601,4.7601,4.7601
2012-02-01,4.8158,4.8158,4.8158,4.8158
2012-02-02,4.7962,4.7962,4.7962,4.7962
2012-02-03,4.7858,4.7858,4.7858,4.7858
2012-02-06,4.7951,4.7951,4.7951,4.7951
2012-02-07,4.7713,4.7713,4.7713,4.7713
2012-02-08,4.7167,4.7167,4.7167,4.7167
2012-02-09,4.7232,4.7232,4.7232,4.7232
2012-02-10,4.7486,4.7486,4.7486,4.7486
2012-02-13,4.7342,4.7342,4.7342,4.7342
2012-02-14,4.7564,4.7564,4.7564,4.7564
2012-02-15,4.7212,4.7212,4.7212,4.7212
2012-02-16,4.8156,4.8156,4.8156,4.8156
2012-02-17,4.7535,4.7535,4.7535,4.7535
2012-02-20,4.7202,4.7202,4.7202,4.7202
2012-02-21,4.7365,4.7365,4.7365,4.7365
2012-02-22,4.7101,4.7101,4.7101,4.7101
2012-02-24,4.6516,4.6516,4.6516,4.6516
2012-02-27,4.6175,4.6175,4.6175,4.6175
2012-02-28,4.6162,4.6162,4.6162,4.6162
2012-02-29,4.6353,4.6353,4.6353,4.6353
2012-03-01,4.6581,4.6581,4.6581,4.6581
2012-03-02,4.6263,4.6263,4.6263,4.6263
2012-03-05,4.6567,4.6567,4.6567,4.6567
2012-03-06,4.6682,4.6682,4.6682,4.6682
2012-03-07,4.6844,4.6844,4.6844,4.6844
2012-03-12,4.6869,4.6869,4.6869,4.6869
2012-03-13,4.6382,4.6382,4.6382,4.6382
2012-03-14,4.6289,4.6289,4.6289,4.6289
2012-03-15,4.6685,4.6685,4.6685,4.6685
2012-03-16,4.6685,4.6685,4.6685,4.6685
2012-03-19,4.6451,4.6451,4.6451,4.6451
2012-03-20,4.629,4.629,4.629,4.629
2012-03-21,4.6089,4.6089,4.6089,4.6089
2012-03-22,4.6822,4.6822,4.6822,4.6822
2012-03-23,4.6667,4.6667,4.6667,4.6667
2012-03-26,4.6489,4.6489,4.6489,4.6489
2012-03-27,4.5728,4.5728,4.5728,4.5728
2012-03-28,4.6251,4.6251,4.6251,4.6251
2012-03-29,4.6761,4.6761,4.6761,4.6761
2012-03-30,4.6623,4.6623,4.6623,4.6623
2012-04-05,4.687,4.687,4.687,4.687
2012-04-10,4.6865,4.6865,4.6865,4.6865
2012-04-11,4.6945,4.6945,4.6945,4.6945
2012-04-12,4.7023,4.7023,4.7023,4.7023
2012-04-13,4.6627,4.6627,4.6627,4.6627
2012-04-16,4.694,4.694,4.694,4.694
2012-04-17,4.6961,4.6961,4.6961,4.6961
2012-04-18,4.6898,4.6898,4.6898,4.6898
2012-04-19,4.68,4.68,4.68,4.68
2012-04-20,4.6688,4.6688,4.6688,4.6688
2012-04-23,4.6602,4.6602,4.6602,4.6602
2012-04-24,4.6578,4.6578,4.6578,4.6578
2012-04-25,4.6528,4.6528,4.6528,4.6528
