Date,Open,High,Low,Close
1995-10-23,5.9117,5.9117,5.9117,5.9117
1995-10-24,5.9056,5.9056,5.9056,5.9056
1995-10-25,5.8885,5.8885,5.8885,5.8885
1995-10-26,5.8727,5.8727,5.8727,5.8727
1995-10-27,5.9389,5.9389,5.9389,5.9389
1995-10-30,5.8676,5.8676,5.8676,5.8676
1995-10-31,5.8629,5.8629,5.8629,5.8629
1995-11-02,5.8442,5.8442,5.8442,5.8442
1995-11-03,5.8381,5.8381,5.8381,5.8381
1995-11-06,5.8643,5.8643,5.8643,5.8643
1995-11-07,5.8581,5.8581,5.8581,5.8581
1995-11-08,5.864,5.864,5.864,5.864
1995-11-09,5.8378,5.8378,5.8378,5.8378
1995-11-10,5.855,5.855,5.855,5.855
1995-11-13,5.8829,5.8829,5.8829,5.8829
1995-11-14,5.8679,5.8679,5.8679,5.8679
1995-11-15,5.9191,5.9191,5.9191,5.9191
1995-11-16,5.889,5.889,5.889,5.889
1995-11-17,5.945,5.945,5.945,5.945
1995-11-20,5.933,5.933,5.933,5.933
1995-11-21,5.931,5.931,5.931,5.931
1995-11-22,5.95,5.95,5.95,5.95
1995-11-23,5.953,5.953,5.953,5.953
1995-11-24,5.95,5.95,5.95,5.95
1995-11-27,5.922,5.922,5.922,5.922
1995-11-28,5.918,5.918,5.918,5.918
1995-11-29,5.902,5.902,5.902,5.902
1995-11-30,5.86,5.86,5.86,5.86
1995-12-01,5.852,5.852,5.852,5.852
1995-12-04,5.862,5.862,5.862,5.862
1995-12-05,5.883,5.883,5.883,5.883
1995-12-06,5.881,5.881,5.881,5.881
1995-12-07,5.866,5.866,5.866,5.866
1995-12-08,5.832,5.832,5.832,5.832
1995-12-09,5.83,5.83,5.83,5.83
1995-12-13,5.845,5.845,5.845,5.845
1995-12-14,5.873,5.873,5.873,5.873
1995-12-15,5.897,5.897,5.897,5.897
1995-12-18,5.931,5.931,5.931,5.931
1995-12-19,5.928,5.928,5.928,5.928
1995-12-20,5.91,5.91,5.91,5.91
1995-12-21,5.921,5.921,5.921,5.921
1995-12-22,5.915,5.915,5.915,5.915
1995-12-25,5.925,5.925,5.925,5.925
1995-12-26,5.925,5.925,5.925,5.925
1995-12-27,5.929,5.929,5.929,5.929
1995-12-28,5.936,5.936,5.936,5.936
1996-01-09,5.993,5.993,5.993,5.993
1996-01-10,6.021,6.021,6.021,6.021
1996-01-11,6.024,6.024,6.024,6.024
1996-01-12,5.984,5.984,5.984,5.984
