Date,Open,High,Low,Close
2011-12-19,0031.9800,0032.1200,0031.9800,0032.1200
2011-12-20,0032.1200,0032.1200,0031.9800,0031.9800
2011-12-21,0031.9800,0031.9800,0031.7300,0031.7300
2011-12-22,0031.7300,0031.7300,0031.3900,0031.3900
2011-12-23,0031.3900,0031.3900,0031.1300,0031.1300
2011-12-26,0031.1300,0031.1400,0031.1300,0031.1400
2011-12-27,0031.1400,0031.3900,0031.1400,0031.3900
2011-12-28,0031.3900,0031.8800,0031.3900,0031.8800
2011-12-29,0031.8800,0032.0900,0031.8800,0032.0900
2011-12-30,0032.0900,0032.2000,0032.0900,0032.2000
2012-01-02,0032.2000,0032.2300,0032.2000,0032.2300
2012-01-03,0032.2300,0032.2300,0031.7000,0031.7000
2012-01-04,0031.7000,0031.8400,0031.7000,0031.8400
2012-01-05,0031.8400,0032.0900,0031.8400,0032.0900
2012-01-06,0032.0900,0032.0900,0032.0500,0032.0500
2012-01-09,0032.0500,0032.0500,0031.8900,0031.8900
2012-01-10,0031.8900,0031.8900,0031.6300,0031.6300
2012-01-11,0031.6300,0031.7300,0031.6300,0031.7300
2012-01-12,0031.7300,0031.7300,0031.6400,0031.6400
2012-01-13,0031.6400,0031.8200,0031.6400,0031.8200
2012-01-16,0031.8200,0031.8200,0031.6800,0031.6800
2012-01-17,0031.6800,0031.6800,0031.6600,0031.6600
2012-01-18,0031.6600,0031.6600,0031.4500,0031.4500
2012-01-19,0031.4500,0031.4500,0031.3200,0031.3200
2012-01-20,0031.3200,0031.3200,0031.3200,0031.3200
2012-01-23,0031.3200,0031.3200,0030.9100,0030.9100
2012-01-24,0030.9100,0030.9100,0030.7700,0030.7700
2012-01-25,0030.7700,0030.7700,0030.5800,0030.5800
2012-01-26,0030.5800,0030.5800,0030.3300,0030.3300
2012-01-27,0030.3300,0030.3300,0030.1800,0030.1800
2012-01-30,0030.1800,0030.3800,0030.1800,0030.3800
2012-01-31,0030.3800,0030.3800,0030.3000,0030.3000
2012-02-01,0030.3000,0030.3000,0030.1800,0030.1800
2012-02-02,0030.1800,0030.2000,0030.1800,0030.2000
2012-02-03,0030.2000,0030.2100,0030.2000,0030.2100
2012-02-06,0030.2100,0030.2100,0030.0800,0030.0800
2012-02-07,0030.0800,0030.0800,0029.8200,0029.8200
2012-02-08,0029.8200,0029.8200,0029.7500,0029.7500
2012-02-09,0029.7500,0029.7500,0029.7000,0029.7000
2012-02-10,0029.7000,0030.0300,0029.7000,0030.0300
2012-02-13,0030.0300,0030.0300,0029.9000,0029.9000
2012-02-14,0029.9000,0030.0700,0029.9000,0030.0700
2012-02-15,0030.0700,0030.0700,0030.0700,0030.0700
2012-02-16,0030.0700,0030.0700,0030.0000,0030.0000
2012-02-17,0030.0000,0030.0000,0029.9400,0029.9400
2012-02-20,0029.9400,0029.9400,0029.7800,0029.7800
2012-02-21,0029.7800,0029.7800,0029.7700,0029.7700
2012-02-22,0029.7700,0029.7700,0029.6900,0029.6900
2012-02-23,0029.6900,0029.6900,0029.5000,0029.5000
2012-02-24,0029.5000,0029.5000,0029.1200,0029.1200
2012-02-27,0029.1200,0029.1200,0029.0300,0029.0300
2012-02-28,0029.0300,0029.0300,0028.9900,0028.9900
2012-02-29,0028.9900,0029.1900,0028.9900,0029.1900
2012-03-01,0029.1900,0029.1900,0029.1800,0029.1800
2012-03-02,0029.1800,0029.3700,0029.1800,0029.3700
2012-03-05,0029.3700,0029.3700,0029.3500,0029.3500
2012-03-06,0029.3500,0029.6500,0029.3500,0029.6500
2012-03-07,0029.6500,0029.6500,0029.6200,0029.6200
2012-03-08,0029.6200,0029.6200,0029.3500,0029.3500
2012-03-09,0029.3500,0029.4400,0029.3500,0029.4400
2012-03-12,0029.4400,0029.6200,0029.4400,0029.6200
2012-03-13,0029.6200,0029.6200,0029.4600,0029.4600
2012-03-14,0029.4600,0029.6200,0029.4600,0029.6200
2012-03-15,0029.6200,0029.6200,0029.3900,0029.3900
2012-03-16,0029.3900,0029.3900,0029.1900,0029.1900
2012-03-19,0029.1900,0029.1900,0029.1300,0029.1300
2012-03-20,0029.1300,0029.2500,0029.1300,0029.2500
2012-03-21,0029.2500,0029.2600,0029.2500,0029.2600
2012-03-22,0029.2600,0029.4300,0029.2600,0029.4300
2012-03-23,0029.4300,0029.4300,0029.2100,0029.2100
2012-03-26,0029.2100,0029.2100,0028.9500,0028.9500
2012-03-27,0028.9500,0029.0700,0028.9500,0029.0700
2012-03-28,0029.0700,0029.3800,0029.0700,0029.3800
2012-03-29,0029.3800,0029.4300,0029.3800,0029.4300
2012-03-30,0029.4300,0029.4300,0029.2600,0029.2600
2012-04-02,0029.2600,0029.2800,0029.2600,0029.2800
2012-04-03,0029.2800,0029.2900,0029.2800,0029.2900
2012-04-04,0029.2900,0029.4200,0029.2900,0029.4200
2012-04-05,0029.4200,0029.4500,0029.4200,0029.4500
2012-04-06,0029.4500,0029.5700,0029.4500,0029.5700
2012-04-09,0029.5700,0029.6000,0029.5700,0029.6000
2012-04-10,0029.6000,0029.8300,0029.6000,0029.8300
2012-04-11,0029.8300,0029.8300,0029.6500,0029.6500
2012-04-12,0029.6500,0029.6500,0029.4200,0029.4200
2012-04-13,0029.4200,0029.5900,0029.4200,0029.5900
2012-04-16,0029.5900,0029.5900,0029.5700,0029.5700
2012-04-17,0029.5700,0029.5700,0029.4900,0029.4900
2012-04-18,0029.4900,0029.5200,0029.4900,0029.5200
2012-04-19,0029.5200,0029.5200,0029.5100,0029.5100
2012-04-20,0029.5100,0029.5100,0029.4500,0029.4500
2012-04-23,0029.4500,0029.5400,0029.4500,0029.5400
2012-04-24,0029.5400,0029.5400,0029.3400,0029.3400
2012-04-25,0029.3400,0029.3400,0029.3100,0029.3100
2012-04-26,0029.3100,0029.3200,0029.3100,0029.3200
2012-04-27,0029.3200,0029.3200,0029.3200,0029.3200
2012-04-30,0029.3200,0029.4200,0029.3200,0029.4200
2012-05-01,0029.4200,0029.4200,0029.3300,0029.3300
2012-05-02,0029.3300,0029.4600,0029.3300,0029.4600
2012-05-03,0029.4600,0029.4600,0029.4300,0029.4300
2012-05-04,0029.4300,0029.7400,0029.4300,0029.7400
2012-05-07,0029.7400,0029.9100,0029.7400,0029.9100
2012-05-08,0029.9100,0030.1400,0029.9100,0030.1400
2012-05-09,0030.1400,0030.3300,0030.1400,0030.3300
2012-05-10,0030.3300,0030.3300,0030.1400,0030.1400
2012-05-11,0030.1400,0030.1700,0030.1400,0030.1700
2012-05-14,0030.1700,0030.4600,0030.1700,0030.4600
2012-05-15,0030.4600,0030.7000,0030.4600,0030.7000
2012-05-16,0030.7000,0031.0100,0030.7000,0031.0100
2012-05-17,0031.0100,0031.0200,0031.0100,0031.0200
2012-05-18,0031.0200,0031.3100,0031.0200,0031.3100
2012-05-21,0031.3100,0031.3100,0031.0800,0031.0800
2012-05-22,0031.0800,0031.2500,0031.0800,0031.2500
2012-05-23,0031.2500,0031.6100,0031.2500,0031.6100
2012-05-24,0031.6100,0031.8000,0031.6100,0031.8000
2012-05-25,0031.8000,0032.1400,0031.8000,0032.1400
2012-05-28,0032.1400,0032.1400,0032.0200,0032.0200
2012-05-29,0032.0200,0032.2900,0032.0200,0032.2900
2012-05-30,0032.2900,0032.8300,0032.2900,0032.8300
2012-05-31,0032.8300,0033.3600,0032.8300,0033.3600
2012-06-01,0033.3600,0033.6800,0033.3600,0033.6800
2012-06-04,0033.6800,0033.6800,0033.4900,0033.4900
2012-06-05,0033.4900,0033.4900,0033.0300,0033.0300
2012-06-06,0033.0300,0033.0300,0032.3400,0032.3400
2012-06-07,0032.3400,0032.3800,0032.3400,0032.3800
2012-06-08,0032.3800,0032.4900,0032.3800,0032.4900
2012-06-11,0032.4900,0032.7700,0032.4900,0032.7700
2012-06-12,0032.7700,0032.9800,0032.7700,0032.9800
2012-06-13,0032.9800,0032.9800,0032.5200,0032.5200
2012-06-14,0032.5200,0032.5200,0032.4900,0032.4900
2012-06-15,0032.4900,0032.4900,0032.4600,0032.4600
2012-06-18,0032.4600,0032.4600,0032.4100,0032.4100
2012-06-19,0032.4100,0032.4100,0032.3800,0032.3800
2012-06-20,0032.3800,0032.6600,0032.3800,0032.6600
2012-06-21,0032.6600,0033.1000,0032.6600,0033.1000
2012-06-22,0033.1000,0033.1700,0033.1000,0033.1700
2012-06-25,0033.1700,0033.1700,0033.1600,0033.1600
2012-06-26,0033.1600,0033.1600,0032.8800,0032.8800
2012-06-27,0032.8800,0032.9700,0032.8800,0032.9700
2012-06-28,0032.9700,0033.1300,0032.9700,0033.1300
2012-06-29,0033.1300,0033.1300,0032.4200,0032.4200
2012-07-02,0032.4200,0032.5400,0032.4200,0032.5400
2012-07-03,0032.5400,0032.5400,0032.1200,0032.1200
2012-07-04,0032.1200,0032.2800,0032.1200,0032.2800
2012-07-05,0032.2800,0032.5200,0032.2800,0032.5200
2012-07-06,0032.5200,0032.8700,0032.5200,0032.8700
2012-07-09,0032.8700,0032.9200,0032.8700,0032.9200
2012-07-10,0032.9200,0032.9200,0032.9200,0032.9200
2012-07-11,0032.9200,0032.9200,0032.7100,0032.7100
2012-07-12,0032.7100,0032.7100,0032.6600,0032.6600
2012-07-13,0032.6600,0032.6600,0032.5500,0032.5500
2012-07-16,0032.5500,0032.5500,0032.5200,0032.5200
2012-07-17,0032.5200,0032.5200,0032.3400,0032.3400
2012-07-18,0032.3400,0032.3400,0032.2400,0032.2400
2012-07-19,0032.2400,0032.2400,0031.8500,0031.8500
2012-07-20,0031.8500,0032.0800,0031.8500,0032.0800
2012-07-23,0032.0800,0032.6800,0032.0800,0032.6800
2012-07-24,0032.6800,0032.9500,0032.6800,0032.9500
2012-07-25,0032.9500,0032.9500,0032.6600,0032.6600
2012-07-26,0032.6600,0032.6600,0032.3900,0032.3900
2012-07-27,0032.3900,0032.3900,0032.0200,0032.0200
2012-07-30,0032.0200,0032.1500,0032.0200,0032.1500
2012-07-31,0032.1500,0032.2100,0032.1500,0032.2100
2012-08-01,0032.2100,0032.4000,0032.2100,0032.4000
2012-08-02,0032.4000,0032.6300,0032.4000,0032.6300
2012-08-03,0032.6300,0032.6300,0032.0400,0032.0400
2012-08-06,0032.0400,0032.0400,0031.5800,0031.5800
2012-08-07,0031.5800,0031.5800,0031.5700,0031.5700
2012-08-08,0031.5700,0031.5700,0031.5200,0031.5200
2012-08-09,0031.5200,0031.7000,0031.5200,0031.7000
2012-08-10,0031.7000,0031.8200,0031.7000,0031.8200
2012-08-13,0031.8200,0031.8700,0031.8200,0031.8700
2012-08-14,0031.8700,0031.8700,0031.8600,0031.8600
2012-08-15,0031.8600,0031.8700,0031.8600,0031.8700
2012-08-16,0031.8700,0031.8700,0031.8700,0031.8700
2012-08-17,0031.8700,0032.0400,0031.8700,0032.0400
2012-08-20,0032.0400,0032.0500,0032.0400,0032.0500
2012-08-21,0032.0500,0032.0500,0031.7900,0031.7900
2012-08-22,0031.7900,0031.7900,0031.7900,0031.7900
2012-08-23,0031.7900,0031.7900,0031.7200,0031.7200
2012-08-24,0031.7200,0031.8000,0031.7200,0031.8000
2012-08-27,0031.8000,0031.8900,0031.8000,0031.8900
2012-08-28,0031.8900,0031.9900,0031.8900,0031.9900
2012-08-29,0031.9900,0032.2300,0031.9900,0032.2300
2012-08-30,0032.2300,0032.5200,0032.2300,0032.5200
2012-08-31,0032.5200,0032.5200,0032.2800,0032.2800
2012-09-03,0032.2800,0032.3000,0032.2800,0032.3000
2012-09-04,0032.3000,0032.3000,0032.3000,0032.3000
2012-09-05,0032.3000,0032.3000,0032.2900,0032.2900
2012-09-06,0032.2900,0032.2900,0031.9600,0031.9600
2012-09-07,0031.9600,0031.9600,0031.6400,0031.6400
2012-09-10,0031.6400,0031.6900,0031.6400,0031.6900
2012-09-11,0031.6900,0031.6900,0031.4600,0031.4600
2012-09-12,0031.4600,0031.4700,0031.4600,0031.4700
2012-09-13,0031.4700,0031.4700,0031.1100,0031.1100
2012-09-14,0031.1100,0031.1100,0030.5100,0030.5100
2012-09-17,0030.5100,0030.6800,0030.5100,0030.6800
2012-09-18,0030.6800,0030.9300,0030.6800,0030.9300
2012-09-19,0030.9300,0031.2000,0030.9300,0031.2000
2012-09-20,0031.2000,0031.2000,0031.1800,0031.1800
2012-09-21,0031.1800,0031.1800,0031.0300,0031.0300
2012-09-24,0031.0300,0031.2000,0031.0300,0031.2000
2012-09-25,0031.2000,0031.2500,0031.2000,0031.2500
