date,marketCap,traceName
2011-12-19,231300850000,total
2012-01-03,25420679140591.05,total
2012-01-18,26341602907175.215,total
2012-02-02,27235337747347.18,total
2012-02-17,27688512191968.3,total
2012-03-05,28572201279683.848,total
2012-03-19,28125209496059.64,total
2012-04-02,27000314486275.25,total
2012-04-17,26253251055234.445,total
2012-05-02,26047691712329.035,total
2012-05-17,23267493351305.13,total
2012-06-01,22991723657645.285,total
2012-06-18,24388871981420.79,total
2012-07-02,24527549474354.5,total
2012-07-16,24778991955569.188,total
2012-07-31,24702818554788.406,total
2012-08-15,24857076136672.74,total
2012-08-30,24634633475078.152,total
2012-09-14,26231587349834.66,total
2012-10-01,25332559762368.637,total
2012-10-15,24782010307866.406,total
2012-10-29,24384294774355.984,total
2012-11-13,23746885096716.492,total
2012-11-28,23977026812797.92,total
2012-12-13,25063399397640.5,total
2012-12-28,25458199414186.594,total
2013-01-14,26146909897044.074,total
2013-01-28,26916071179471.785,total
2013-02-11,26362319500536.266,total
2013-02-26,25571988250704.766,total
2013-03-13,25697264928975.695,total
2013-03-28,24125002703726.605,total
2013-04-12,23452565472943.973,total
2013-04-29,23095582380646.258,total
2013-05-13,23823676295972.777,total
2013-05-27,23213113878805.406,total
2013-06-11,22274195548915.96,total
2013-06-26,22737929005902.06,total
2013-07-11,23399658980094.867,total
2013-07-26,24019266022159.875,total
2013-08-12,23792254871179.934,total
2013-08-26,24037541822123.188,total
2013-09-09,25018725266239.066,total
2013-09-24,25020327453420.273,total
2013-10-09,25890779924118.258,total
2013-10-24,25859061812501.754,total
2013-11-08,26559722524969.72,total
2013-11-25,25650370464837.293,total
2013-12-09,24944121058435.703,total
2013-12-23,25719460196780.406,total
2014-01-08,25230438626826.305,total
2014-01-22,25756164500073.402,total
2014-02-06,25202881736997.953,total
2014-02-21,25587866180356.168,total
2014-03-11,23119509591582.793,total
2014-03-24,22988743893289.64,total
2014-04-07,23512076007073.39,total
2014-04-22,23449743574820.07,total
2014-05-07,23581804131738.867,total
2014-05-22,24520313787122.414,total
2014-06-06,25389287202241.906,total
2014-06-23,25653081564091.074,total
2014-07-07,25943616992444.297,total
2014-07-21,24183240864120.184,total
2014-08-05,23582124723457.992,total
2014-08-20,23816107190271.69,total
2014-09-04,23873113099648.92,total
2014-09-19,23517489397984.793,total
2014-10-06,23092640959044.254,total
2014-10-20,22635697214304.734,total
2014-11-03,24207866806878.938,total
2014-11-18,24406881806965.836,total
2014-12-03,25345135568182.004,total
2014-12-18,23729880415496.574,total
2015-01-05,23520776404907.996,total
2015-01-19,26316235923574.93,total
2015-02-02,27031963179787.97,total
2015-02-16,29908760562158.297,total
2015-03-03,29826047463380.277,total
2015-03-18,27054681093230.953,total
2015-04-02,28116037066553.91,total
2015-04-17,28078704128846.742,total
2015-05-05,28819938491647.387,total
2015-05-18,28386194657240.207,total
2015-06-01,27453290631366.652,total
2015-06-16,27932922261875.41,total
2015-07-01,27697633720558.98,total
2015-07-16,27784611549139.266,total
2015-07-31,27782666053165.434,total
2015-08-17,28959587749598.33,total
2015-08-31,29183646472255.703,total
2015-09-14,29640096096402.395,total
2015-09-29,27843088526768.684,total
2015-10-14,29194675806461.9,total
2015-10-29,29042606507452.207,total
2015-11-13,29316427884294.59,total
2015-11-30,29945095025393.484,total
2015-12-14,28133964875983.07,total
2015-12-28,28412858108252.25,total
2016-01-12,27588767237748.918,total
2016-01-27,28670335286175.19,total
2016-02-11,28750158610528.816,total
2016-02-26,30574673894456.355,total
2016-03-14,31360164992814.582,total
2016-03-28,31309651436864.902,total
2016-04-11,31878414977689.156,total
2016-04-26,32841641153273.76,total
2016-05-11,32018004985115.94,total
2016-05-26,32260078578385.203,total
2016-06-10,32333491544899.836,total
2016-06-27,31499059310488.223,total
2016-07-11,32071469986120.125,total
2016-07-25,32749762287819.63,total
2016-08-09,33162987901260.098,total
2016-08-24,33773545021403.875,total
2016-09-08,34974407640994.26,total
2016-09-23,34336375814441.094,total
2016-10-10,34113803015959.453,total
2016-10-24,33518550119591.797,total
2016-11-07,33747484152043.535,total
2016-11-22,35435331755803.695,total
2016-12-07,37008129485981.54,total
2016-12-22,37370272001533.484,total
2017-01-06,38023163600635.58,total
2017-01-23,37486995327984.61,total
2017-02-06,38638132298925.53,total
2017-02-20,37125695827247.88,total
2017-03-07,35459968162715.6,total
2017-03-22,35453409572925.43,total
2017-04-06,35982517030588.66,total
2017-04-21,33782693067108.164,total
2017-05-10,34705649715847.773,total
2017-05-22,33660023020655.117,total
2017-06-05,32700308164090.91,total
2017-06-20,32274641995302.57,total
2017-07-05,33399568872015.086,total
2017-07-20,33905955065464.85,total
2017-08-04,33882320897679.45,total
2017-08-21,33736090197740.69,total
2017-09-04,34613868949146.71,total
2017-09-18,35626633582044.25,total
2017-10-03,35976188716118.94,total
2017-10-18,36285803496557.96,total
2017-11-02,36091607069067.8,total
2017-11-17,36893396609307.79,total
2017-12-04,36158690985069.45,total
2017-12-18,36556023379940.69,total
2018-01-03,36612116271910.695,total
2018-01-16,38225632821278.77,total
2018-01-31,39244079502066.9,total
2018-02-15,39072963351906.46,total
2018-03-02,39046083050482.766,total
2018-03-19,39072088923608.74,total
2018-04-02,38834210417218.66,total
2018-04-16,36547322255827.99,total
2018-05-02,39662444456631.32,total
2018-05-16,39866394999431.18,total
2018-05-31,39401359965870.805,total
2018-06-15,38653294776444.03,total
2018-07-02,39494546772964.82,total
2018-07-16,40142594490874.74,total
2018-07-30,39471153034127.26,total
2018-08-14,39390991056205.84,total
2018-08-29,40308034588658.75,total
2018-09-13,40412428889070.93,total
2018-09-28,42506701639021.63,total
2018-10-15,41529839779135.11,total
2018-10-29,40265683789467.414,total
2018-11-12,41132509481418.055,total
2018-11-27,39608527231712.54,total
2018-12-12,40281869911006.38,total
2018-12-27,39562557108366.25,total
2019-01-11,41187011663142.61,total
2019-01-28,41456639327850.76,total
2019-02-11,41935906701233.48,total
2019-02-25,42842276229983.63,total
2019-03-12,41925009391086.91,total
2019-03-27,41517785971459.36,total
2019-04-11,42505339399607.734,total
2019-04-26,42696149552636.42,total
2019-05-13,41900170414909.62,total
2019-05-27,43575504694452.875,total
2019-06-10,44911033750138.86,total
2019-06-25,45207268117604.78,total
2019-07-10,46254523008354.03,total
2019-07-25,44951997699534.89,total
2019-08-09,44670631040834.35,total
2019-08-26,44289297786693.36,total
2019-09-09,45906024983972.84,total
2019-09-23,45994524744324.16,total
2019-10-08,44578567811748.79,total
2019-10-23,45901565735664.38,total
2019-11-07,48676767481199.07,total
2019-11-22,47770510600418.625,total
2019-12-09,47517745806379.38,total
2019-12-23,48830134154838.8,total
2020-01-06,49595977396715.125,total
2020-01-21,51881978891839.85,total
2020-02-05,50041476802596.82,total
2020-02-20,50792906415895.75,total
2020-03-06,44016702680929.875,total
2020-03-23,35923671572824.13,total
2020-04-06,41917543514256.414,total
2020-04-20,40680575862319.4,total
2020-05-05,42647677701144.87,total
2020-05-20,44214318699835.49,total
2020-06-04,44897248573889.125,total
2020-06-19,44290593150048.375,total
2020-07-06,44973488828194.875,total
2020-07-20,44067665679563.04,total
2020-08-03,46026496800530.75,total
2020-08-18,48240587406425.2,total
2020-09-02,46549915037517.59,total
2020-09-17,46483611735127.8,total
2020-10-02,44621894965589.84,total
2020-10-19,44350127074084.76,total
2020-11-02,43160772432381.82,total
2020-11-16,48885479617994.78,total
2020-12-01,49565633272504.15,total
2020-12-16,51272059165989.805,total
2021-01-04,52373466049617.8,total
2021-01-15,55113937413394.84,total
2021-02-01,52112063094092.25,total
2021-02-15,54660198944485.72,total
2021-03-01,53623243072379.945,total
2021-03-16,56912505432845.02,total
2021-03-31,56746537628403.234,total
2021-04-15,57200737007760.12,total
2021-04-30,56884277421255.22,total
2021-05-17,58489574061589.98,total
2021-05-31,59231754080477.36,total
2021-06-14,61177425489281.49,total
2021-06-29,59656178885415.3,total
2021-07-14,60818532869277.14,total
2021-07-29,60320581539348.016,total
2021-08-13,61323333570421.83,total
2021-08-30,61990226296840.01,total
2021-09-13,64216152685992.14,total
2021-09-27,65155405782646.69,total
2021-10-12,68210949196565.305,total
2021-10-27,67716841818113.516,total
2021-11-11,66533430973507.56,total
2021-11-26,62468068985491.055,total
2021-12-13,60711016748057.03,total
2021-12-27,62099160053051.94,total
2022-01-10,63540046221195.96,total
2022-01-25,55987861453512.35,total
