date,marketValue,traceName
2011-12-19,1730047292.04,Chemicals and Pertochemicals
2011-12-20,1710703183.02,Chemicals and Pertochemicals
2011-12-21,1991589484.27,Chemicals and Pertochemicals
2011-12-22,2464540526.4300003,Chemicals and Pertochemicals
2011-12-23,763591590.63,Chemicals and Pertochemicals
2011-12-26,432012971.17,Chemicals and Pertochemicals
2011-12-26,432012971.17,Chemicals and Pertochemicals
2011-12-26,432012971.17,Chemicals and Pertochemicals
2011-12-27,358142935.05,Chemicals and Pertochemicals
2011-12-28,489016301.35,Chemicals and Pertochemicals
2011-12-29,678298353.3199999,Chemicals and Pertochemicals
2011-12-30,669649153.0999999,Chemicals and Pertochemicals
2012-01-03,610102560.52,Chemicals and Pertochemicals
2012-01-03,610102560.52,Chemicals and Pertochemicals
2012-01-03,610102560.52,Chemicals and Pertochemicals
2012-01-03,610102560.52,Chemicals and Pertochemicals
2012-01-04,342739773.48999995,Chemicals and Pertochemicals
2012-01-05,599442451.1000001,Chemicals and Pertochemicals
2012-01-06,666918469.8900001,Chemicals and Pertochemicals
2012-01-09,698685851.1800001,Chemicals and Pertochemicals
2012-01-09,698685851.1800001,Chemicals and Pertochemicals
2012-01-09,698685851.1800001,Chemicals and Pertochemicals
2012-01-10,1348319826.77,Chemicals and Pertochemicals
2012-01-11,1016734373.26,Chemicals and Pertochemicals
2012-01-12,1886277697.78,Chemicals and Pertochemicals
2012-01-13,767986601.52,Chemicals and Pertochemicals
2012-01-16,485052796.08,Chemicals and Pertochemicals
2012-01-16,485052796.08,Chemicals and Pertochemicals
2012-01-16,485052796.08,Chemicals and Pertochemicals
2012-01-17,1172398846.4800003,Chemicals and Pertochemicals
2012-01-18,580282607.55,Chemicals and Pertochemicals
2012-01-19,1043851429.63,Chemicals and Pertochemicals
2012-01-20,821092032.4599999,Chemicals and Pertochemicals
2012-01-23,961976132.88,Chemicals and Pertochemicals
2012-01-23,961976132.88,Chemicals and Pertochemicals
2012-01-23,961976132.88,Chemicals and Pertochemicals
2012-01-24,917803698.26,Chemicals and Pertochemicals
2012-01-25,1024058302.1700001,Chemicals and Pertochemicals
2012-01-26,1526933128.86,Chemicals and Pertochemicals
2012-01-27,1648131372.75,Chemicals and Pertochemicals
2012-01-30,1035837725.37,Chemicals and Pertochemicals
2012-01-30,1035837725.37,Chemicals and Pertochemicals
2012-01-30,1035837725.37,Chemicals and Pertochemicals
2012-01-31,1098483196.46,Chemicals and Pertochemicals
2012-02-01,898385296.27,Chemicals and Pertochemicals
2012-02-02,969140105.51,Chemicals and Pertochemicals
2012-02-03,1058853647.52,Chemicals and Pertochemicals
2012-02-06,962769695.36,Chemicals and Pertochemicals
2012-02-06,962769695.36,Chemicals and Pertochemicals
2012-02-06,962769695.36,Chemicals and Pertochemicals
2012-02-07,942553173.13,Chemicals and Pertochemicals
2012-02-08,771811634.0699999,Chemicals and Pertochemicals
2012-02-09,689575645.11,Chemicals and Pertochemicals
2012-02-10,802795737.5799999,Chemicals and Pertochemicals
2012-02-13,752498339.48,Chemicals and Pertochemicals
2012-02-13,752498339.48,Chemicals and Pertochemicals
2012-02-13,752498339.48,Chemicals and Pertochemicals
2012-02-14,786340063.53,Chemicals and Pertochemicals
2012-02-15,2294129986.05,Chemicals and Pertochemicals
2012-02-16,1468311872.3700001,Chemicals and Pertochemicals
2012-02-17,1179473271.7099998,Chemicals and Pertochemicals
2012-02-20,495242521.03999996,Chemicals and Pertochemicals
2012-02-20,495242521.03999996,Chemicals and Pertochemicals
2012-02-20,495242521.03999996,Chemicals and Pertochemicals
2012-02-21,697086718.39,Chemicals and Pertochemicals
2012-02-22,998416637.38,Chemicals and Pertochemicals
2012-02-24,1443697752.41,Chemicals and Pertochemicals
2012-02-24,1443697752.41,Chemicals and Pertochemicals
2012-02-27,791314467.39,Chemicals and Pertochemicals
2012-02-27,791314467.39,Chemicals and Pertochemicals
2012-02-27,791314467.39,Chemicals and Pertochemicals
2012-02-28,786553899.37,Chemicals and Pertochemicals
